,店舗名,住所,緯度,経度
0,セブンイレブン 名古屋椿町店,愛知県名古屋市中村区椿町１４－２３,35.1690445,136.8803255
1,セブンイレブン品川駅前店新川屋,東京都港区高輪３丁目２５－２０,35.6303016,139.737793
2,セブンイレブン 京都駅八条口店,京都府京都市下京区東塩小路釜殿町３１－１,34.9846916,135.7573333
3,セブンイレブン浦安舞浜店,千葉県浦安市舞浜２丁目４６－１,35.6392456,139.8824973
4,セブンイレブングランフロント大阪店,大阪府大阪市北区大深町３－１,34.7053446,135.4946432
5,セブンイレブン箱根湯本駅前店,神奈川県足柄下郡箱根町湯本６９３－１,35.23146630000001,139.1016658
6,セブンイレブン 福岡天神２丁目店,福岡県福岡市中央区天神２丁目４－１９,33.5874021,130.3972686
7,セブンイレブン 大阪芝田２丁目店,大阪府大阪市北区芝田２丁目２－１３,34.70594450000001,135.4959015
8,セブンイレブン 秋田東通仲町店,秋田県秋田市東通仲町３－２５,39.7160123,140.1326867
9,セブンイレブン 新横浜駅南口店,神奈川県横浜市港北区篠原町２９７１－１,35.5064448,139.6169569
10,セブンイレブン箱根宮城野店,神奈川県足柄下郡箱根町宮城野６１９－２,35.2538778,139.0508675
11,セブンイレブン 札幌ステラプレイス店,北海道札幌市中央区北５条西２丁目,43.067934,141.3526151
12,セブンイレブン 鬼怒川立岩店,栃木県日光市鬼怒川温泉大原１４２２－１,36.8230965,139.7121914
13,セブンイレブン 神戸三ノ宮店,兵庫県神戸市中央区北長狭通１丁目３－６,34.6935853,135.1927225
14,セブンイレブン 北区東十条駅前店,東京都北区中十条２丁目９－１５,35.7621197,139.7269807
15,セブンイレブン アオーレ長岡店,新潟県長岡市大手通１丁目４－１０,37.4465874,138.8512244
16,セブンイレブン 仙台駅東口店,宮城県仙台市宮城野区榴岡１丁目２－３７ダイワロイネットホテル仙台,38.2586966,140.8848331
17,セブンイレブン 津市西丸之内店,三重県津市西丸之内１０－３,34.7165907,136.501301
18,セブンイレブン函館若松町店,北海道函館市若松町７－１５,41.7720207,140.7271797
19,セブンイレブン 新潟駅ＣｏＣｏＬｏ西館店,新潟県新潟市中央区花園１丁目９６－４７,37.9111436,139.0608557
20,セブンイレブン福岡天神３丁目店,福岡県福岡市中央区天神３丁目１６－１９－１Ｆ,33.593557,130.3974436
21,セブンイレブン 茨木西駅前町店,大阪府茨木市西駅前町５－３２,34.8167854,135.5612497
22,セブンイレブン 大阪阿倍野筋４丁目店,大阪府大阪市阿倍野区阿倍野筋４丁目１８－１５,34.6401856,135.510927
23,セブンイレブン中央区京橋１丁目店,東京都中央区京橋１丁目３－３,35.6786801,139.7710529
